"코드","코드명"
"1","공연장"
"1","고건축_가옥"
"1","건축"
"1","어린이/청소년 문화행사"
"1","콘서트"
"1","무료관람장소"
"2","고건축_관아"
"2","클래식"
"2","거리예술가장소"
"2","여성 문화행사"
"2","고도서"
"3","공예"
"3","뮤지컬/오페라"
"3","고건축_궁궐"
"3","박물관/기념관"
"3","연인과 데이트"
"3","어르신 문화행사"
"4","고건축_누정"
"4","미술관"
"4","어르신 나들이"
"4","과학기기"
"5","도자기"
"5","나이트 라이프"
"5","고건축_문묘"
"5","기타"
"5","연극"
"6","테마거리"
"6","근대건축"
"6","민속"
"6","무용"
"6","문화예술회관"
"7","문화가 있는 날"
"7","건물지"
"7","불교문화"
"7","전시/미술"
"7","문화원"
"8","고문서"
"8","도서관"
"8","석조물"
"9","유적명소"
"9","고전적"
"10","고지도"
"10","고서화"
"10","기타"
"11","금속"
"11","기타"
"11","국악"
"12","목가구"
"12","축제-기타"
"13","와당토기"
"14","백자"
"15","분청사기"
"16","청자"
"17","토우"
"17","독주/독창회"
"18","영화"
"18","무구"
"19","문화교양/강좌"
"19","무형문화재"
"20","축제-문화?예술"
"20","민간신앙"
"21","축제-자연?경관"
"21","복식"
"22","축제-전통?역사"
"22","불경"
"23","축제-시민화합"
"23","불상"
"24","불화"
"25","사찰"
"26","다리"
"27","비"
"28","석등"
"29","석물"
"30","석탑"
"31","능원묘"
"32","단묘사"
"33","산성성곽"
"34","선사유적"
"35","천연기념물"
"36","기타"
"37","서예"
"38","회화"